Company,Year,KPI_Name,Value,Unit,GroundTruthCommonValue
Apex Tire Co,2009,CO2 - Brown coal briquettes,0.0,,
Apex Tire Co,2009,CO2 - Other bituminous coal,61656.62295550034,,
Apex Tire Co,2009,CO2 - Coal,231654.9821050614,,
Apex Tire Co,2009,CO2 - Propane,0.0,,
Apex Tire Co,2009,CO2 - Fuel Oil Heavy A,25760.533052359755,,
Apex Tire Co,2009,CO2 - Fuel Oil Heavy C,0.0,,
Apex Tire Co,2009,CO2 - Fuel Oil,25760.533052359755,,
Apex Tire Co,2009,CO2 - Diesel,2082.68333845356,,
Apex Tire Co,2009,CO2 - Petrol,1826.5301373148816,,
Apex Tire Co,2009,CO2 - Biomass,0.0,,
Apex Tire Co,2009,CO2 - Waste Tires,29753.08421614365,,
Apex Tire Co,2009,CO2 - LPG,0.0,,
Apex Tire Co,2009,CO2 - Other,0.0,,
Apex Tire Co,2009,Total CO2 - Scope 1,450672.9371309794,,
Apex Tire Co,2009,Total CO2 - Scope 2,801065.1583411625,,
Apex Tire Co,2009,Total CO2,1251738.095472142,,
Apex Tire Co,2009,Total CO2 - KPI,0.90919801446091,,
Apex Tire Co,2009,Corporate units - Canada,0.0,,
Apex Tire Co,2009,Corporate units -  Chile,,,
Apex Tire Co,2009,Corporate units - Mexico,0.0,,
Apex Tire Co,2009,Corporate units - United States,0.0,,
Apex Tire Co,2009,Corporate units - OECD Americas,0.0,,
Apex Tire Co,2009,Corporate units - Australia,0.0,,
Apex Tire Co,2009,Corporate units - Israel,0.0,,
Apex Tire Co,2009,Corporate units - Japan,0.0,,
Apex Tire Co,2009,Corporate units - Korea,0.0,,
Apex Tire Co,2009,Corporate units - New Zealand,0.0,,
Apex Tire Co,2009,Corporate units - OECD Asia Oceania,0.0,,
Apex Tire Co,2009,Corporate units - Austria,0.0,,
Apex Tire Co,2009,Corporate units - Belgium,0.0,,
Apex Tire Co,2009,Corporate units - Czech Republic,0.0,,
Apex Tire Co,2009,Corporate units - Denmark,0.0,,
Apex Tire Co,2009,Corporate units - Estonia,0.0,,
Apex Tire Co,2009,Corporate units - Finland,0.0,,
Apex Tire Co,2009,Corporate units - France,0.0,,
Apex Tire Co,2009,Corporate units - Germany,0.0,,
Apex Tire Co,2009,Corporate units - Greece,0.0,,
Apex Tire Co,2009,Corporate units - Hungary,0.0,,
Apex Tire Co,2009,Corporate units - Iceland,0.0,,
Apex Tire Co,2009,Corporate units - Ireland,0.0,,
Apex Tire Co,2009,Corporate units - Italy,0.0,,
Apex Tire Co,2009,Corporate units - Luxembourg,0.0,,
Apex Tire Co,2009,Corporate units - Netherlands,0.0,,
Apex Tire Co,2009,Corporate units - Norway,0.0,,
Apex Tire Co,2009,Corporate units - Poland,0.0,,
Apex Tire Co,2009,Corporate units - Portugal,0.0,,
Apex Tire Co,2009,Corporate units - Slovak Republic,0.0,,
Apex Tire Co,2009,Corporate units - Slovenia,0.0,,
Apex Tire Co,2009,Corporate units - Spain,0.0,,
Apex Tire Co,2009,Corporate units - Sweden,0.0,,
Apex Tire Co,2009,Corporate units - Switzerland,0.0,,
Apex Tire Co,2009,Corporate units - Turkey,0.0,,
Apex Tire Co,2009,Corporate units - United Kingdom,0.0,,
Apex Tire Co,2009,Corporate units - OECD Europe,0.0,,
Apex Tire Co,2009,Corporate units - European Union - 27,,,
Apex Tire Co,2009,Corporate units - Non-OECD,,,
Apex Tire Co,2009,Corporate units - Albania,0.0,,
Apex Tire Co,2009,Corporate units - Armenia,0.0,,
Apex Tire Co,2009,Corporate units - Azerbaijan,0.0,,
Apex Tire Co,2009,Corporate units - Belarus,0.0,,
Apex Tire Co,2009,Corporate units - Bosnia and Herzegovina,0.0,,
Apex Tire Co,2009,Corporate units - Bulgaria,0.0,,
Apex Tire Co,2009,Corporate units - Croatia,0.0,,
Apex Tire Co,2009,Corporate units - Cyprus,0.0,,
Apex Tire Co,2009,Corporate units - Georgia,0.0,,
Apex Tire Co,2009,Corporate units - Gibraltar,0.0,,
Apex Tire Co,2009,Corporate units - Kazakhstan,0.0,,
Apex Tire Co,2009,Corporate units - Kosovo,0.0,,
Apex Tire Co,2009,Corporate units - Kyrgyzstan,0.0,,
Apex Tire Co,2009,Corporate units - Latvia,0.0,,
Apex Tire Co,2009,Corporate units - Lithuania,0.0,,
Apex Tire Co,2009,Corporate units - FYR of Macedonia,0.0,,
Apex Tire Co,2009,Corporate units - Malta,0.0,,
Apex Tire Co,2009,Corporate units - Republic of Moldova,0.0,,
Apex Tire Co,2009,Corporate units - Montenegro,0.0,,
Apex Tire Co,2009,Corporate units - Romania,0.0,,
Apex Tire Co,2009,Corporate units - Russian Federation,0.0,,
Apex Tire Co,2009,Corporate units - Serbia,0.0,,
Apex Tire Co,2009,Corporate units - Tajikistan,0.0,,
Apex Tire Co,2009,Corporate units - Turkmenistan,0.0,,
Apex Tire Co,2009,Corporate units - Ukraine,0.0,,
Apex Tire Co,2009,Corporate units - Uzbekistan,0.0,,
Apex Tire Co,2009,Corporate units - Non-OECD Europe and Eurasia,,,
Apex Tire Co,2009,Corporate units - Algeria,0.0,,
Apex Tire Co,2009,Corporate units - Angola,0.0,,
Apex Tire Co,2009,Corporate units - Benin,0.0,,
Apex Tire Co,2009,Corporate units - Botswana,0.0,,
Apex Tire Co,2009,Corporate units - Cameroon,0.0,,
Apex Tire Co,2009,Corporate units - Congo,0.0,,
Apex Tire Co,2009,Corporate units - Dem. Rep. Of Congo,0.0,,
Apex Tire Co,2009,Corporate units - Côte d'Ivoire,0.0,,
Apex Tire Co,2009,Corporate units - Egypt,0.0,,
Apex Tire Co,2009,Corporate units - Eritrea,0.0,,
Apex Tire Co,2009,Corporate units - Ethiopia,0.0,,
Apex Tire Co,2009,Corporate units - Gabon,0.0,,
Apex Tire Co,2009,Corporate units - Ghana,0.0,,
Apex Tire Co,2009,Corporate units - Kenya,0.0,,
Apex Tire Co,2009,Corporate units - Libya,0.0,,
Apex Tire Co,2009,Corporate units - Morocco,0.0,,
Apex Tire Co,2009,Corporate units - Mozambique,0.0,,
Apex Tire Co,2009,Corporate units - Namibia,0.0,,
Apex Tire Co,2009,Corporate units - Nigeria,0.0,,
Apex Tire Co,2009,Corporate units - Senegal,0.0,,
Apex Tire Co,2009,Corporate units - South Africa,0.0,,
Apex Tire Co,2009,Corporate units - Sudan,0.0,,
Apex Tire Co,2009,Corporate units - United Rep. Of Tanzania,0.0,,
Apex Tire Co,2009,Corporate units - Togo,0.0,,
Apex Tire Co,2009,Corporate units - Tunisia,0.0,,
Apex Tire Co,2009,Corporate units - Zambia,0.0,,
Apex Tire Co,2009,Corporate units - Zimbabwe,0.0,,
Apex Tire Co,2009,Corporate units - Other Africa,0.0,,
Apex Tire Co,2009,Corporate units - Africa,0.0,,
Apex Tire Co,2009,Corporate units - Bangladesh,0.0,,
Apex Tire Co,2009,Corporate units - Brunei Darussalam,0.0,,
Apex Tire Co,2009,Corporate units - Cambodia,0.0,,
Apex Tire Co,2009,Corporate units - Chinese Taipei,0.0,,
Apex Tire Co,2009,Corporate units - India,0.0,,
Apex Tire Co,2009,Corporate units - Indonesia,0.0,,
Apex Tire Co,2009,Corporate units - DPR of Korea,0.0,,
Apex Tire Co,2009,Corporate units - Malaysia,0.0,,
Apex Tire Co,2009,Corporate units - Mongolia,0.0,,
Apex Tire Co,2009,Corporate units - Myanmar,0.0,,
Apex Tire Co,2009,Corporate units - Nepal,0.0,,
Apex Tire Co,2009,Corporate units - Pakistan,0.0,,
Apex Tire Co,2009,Corporate units - Philippines,0.0,,
Apex Tire Co,2009,Corporate units - Singapore,0.0,,
Apex Tire Co,2009,Corporate units - Sri Lanka,0.0,,
Apex Tire Co,2009,Corporate units - Thailand,0.0,,
Apex Tire Co,2009,Corporate units - Vietnam,0.0,,
Apex Tire Co,2009,Corporate units - Other Asia,0.0,,
Apex Tire Co,2009,Corporate units - Asia,0.0,,
Apex Tire Co,2009,Corporate units - People's Rep. Of China,0.0,,
Apex Tire Co,2009,"Corporate units - Hong Kong, China",0.0,,
Apex Tire Co,2009,Corporate units - China,0.0,,
Apex Tire Co,2009,Corporate units - Argentina,0.0,,
Apex Tire Co,2009,Corporate units - Bolivia,0.0,,
Apex Tire Co,2009,Corporate units - Brazil,0.0,,
Apex Tire Co,2009,Corporate units - Colombia,0.0,,
Apex Tire Co,2009,Corporate units - Costa Rica,0.0,,
Apex Tire Co,2009,Corporate units - Cuba,0.0,,
Apex Tire Co,2009,Corporate units - Dominican Republic,0.0,,
Apex Tire Co,2009,Corporate units - Ecuador,0.0,,
Apex Tire Co,2009,Corporate units - El Salvador,0.0,,
Apex Tire Co,2009,Corporate units - Guatemala,0.0,,
Apex Tire Co,2009,Corporate units - Haiti,0.0,,
Apex Tire Co,2009,Corporate units - Honduras,0.0,,
Apex Tire Co,2009,Corporate units - Jamaica,0.0,,
Apex Tire Co,2009,Corporate units - Netherlands Antilles,0.0,,
Apex Tire Co,2009,Corporate units - Nicaragua,0.0,,
Apex Tire Co,2009,Corporate units - Panama,0.0,,
Apex Tire Co,2009,Corporate units - Paraguay,0.0,,
Apex Tire Co,2009,Corporate units - Peru,0.0,,
Apex Tire Co,2009,Corporate units - Trinidad and Tobago,0.0,,
Apex Tire Co,2009,Corporate units - Uruguay,0.0,,
Apex Tire Co,2009,Corporate units - Venezuela,0.0,,
Apex Tire Co,2009,Corporate units - Other Non-OECD Americas,,,
Apex Tire Co,2009,Corporate units - Non-OECD Americas,,,
Apex Tire Co,2009,Corporate units - Bahrain,0.0,,
Apex Tire Co,2009,Corporate units - Islamic Republic of Iran,0.0,,
Apex Tire Co,2009,Corporate units - Iraq,0.0,,
Apex Tire Co,2009,Corporate units - Jordan,0.0,,
Apex Tire Co,2009,Corporate units - Kuwait,0.0,,
Apex Tire Co,2009,Corporate units - Lebanon,0.0,,
Apex Tire Co,2009,Corporate units - Oman,0.0,,
Apex Tire Co,2009,Corporate units - Qatar,0.0,,
Apex Tire Co,2009,Corporate units - Saudi Arabia,0.0,,
Apex Tire Co,2009,Corporate units - Syrian Arab Republic,0.0,,
Apex Tire Co,2009,Corporate units - United Arab Emirates,0.0,,
Apex Tire Co,2009,Corporate units - Yemen,0.0,,
Apex Tire Co,2009,Corporate units - Middle East,0.0,,
Apex Tire Co,2009,Corporate units - Total non renewable electricity purchased,6681915.592327936,,
Apex Tire Co,2009,Waste Production,1376749.7020045011,,
Apex Tire Co,2009,Total amount of Waste,258233.9325853212,metric T,258233.9325853212
Apex Tire Co,2009,Amount of waste sent to recovery,193263.4097849821,metric T,193263.4097849821
Apex Tire Co,2009,Amount of waste sent to elimination,64970.52280033912,,
Apex Tire Co,2009,Waste recovery %,0.7484043938382393,,
Apex Tire Co,2009,Waste elimination %,0.2515956061617606,,
Apex Tire Co,2009,Waste Intensity - KPI,0.1875678144032581,,
Apex Tire Co,2009,HS External Audit Sites,25.0,,
Apex Tire Co,2009,HS Internal Audit Sites,21.0,,
Apex Tire Co,2009,HS External Audit %,0.8928571428571429,,
Apex Tire Co,2009,HS Internal Audit %,0.75,,
Apex Tire Co,2009,Total Employees,2412.0,,
Apex Tire Co,2009,Female Employees,923.0,,
Apex Tire Co,2009,Female Employees %,0.3826699834162521,,
Apex Tire Co,2009,Board Total,13.0,,
Apex Tire Co,2009,Female Board,4.0,,
Apex Tire Co,2009,Female Board %,0.3076923076923077,,
Apex Tire Co,2009,SBT Total,28.0,,
Apex Tire Co,2009,SBT Validated,12.0,,
Apex Tire Co,2009,SBT Committed,7.0,,
Apex Tire Co,2009,SBT Non-Committed,9.0,,
Apex Tire Co,2010,Total no. of sites,23.0,,
Apex Tire Co,2010,ISO 14001 sites,17.0,,
Apex Tire Co,2010,% certified sites,0.7391304347826086,,
Apex Tire Co,2010,Production,3097729949.25707,lb,1405105.523143413
Apex Tire Co,2010,Water intake,10720.870702905151,10^6 L,10720870.702905152
Apex Tire Co,2010,Water intake - KPI,7.629939905809422,,
Apex Tire Co,2010,Total Purchased Electricity,5963218.582891868,,
Apex Tire Co,2010,Renewable Electricity Purchased,292.6799309589836,TJ,292679.93095898355
Apex Tire Co,2010,Non-Renewable Electricity Purchased,5670.538651932885,TJ,5670538.651932885
Apex Tire Co,2010,Self-generated AND consumed electricity on-site,208.0573285834008,TJ,208057.3285834008
Apex Tire Co,2010,Purchased Steam,804.2249888397365,TJ,804224.9888397366
Apex Tire Co,2010,Sold Electricity,37.51320123180085,TJ,37513.20123180085
Apex Tire Co,2010,Sold Steam,394.8295603417325,TJ,394829.5603417325
Apex Tire Co,2010,Energy - Natural Gas,4821172.541522537,Decatherm LHV,5086606.293792721
Apex Tire Co,2010,Energy - Sub bituminous coal,136265120.55698472,kWh HHV,480935.7196128872
Apex Tire Co,2010,Energy - Brown coal briquettes,0.0,kWh HHV,0.0
Apex Tire Co,2010,Energy - Other bituminous coal,120852985.72011212,kWh HHV,426539.9496003957
Apex Tire Co,2010,Energy - Total Coal,907475.6692132828,,
Apex Tire Co,2010,Energy - Propane,0.0,kL,0.0
Apex Tire Co,2010,Energy - Fuel Oil Heavy A,0.0,,0.0
Apex Tire Co,2010,Energy - Fuel Oil Heavy C,384782.1061154255,,384782.1061154255
Apex Tire Co,2010,Energy - Fuel Oil,384782.1061154255,,
Apex Tire Co,2010,Energy - Diesel,1846.1082963908475,kL,71057.75329504395
Apex Tire Co,2010,Energy - Petrol,0.0,kL,0.0
Apex Tire Co,2010,Energy - Biomass,36.08338400305131,TJ LHV,36083.38400305131
Apex Tire Co,2010,Energy - Waste tires,409926.4336153355,tire/year,112861.25508141464
Apex Tire Co,2010,Energy - LPG,1721.0550322108193,kL,66244.38237188815
Apex Tire Co,2010,Energy - Other,0.0,TJ LHV,0.0
Apex Tire Co,2010,Total energy,13208268.9826143,,
Apex Tire Co,2010,Total energy - KPI,9.400197184525757,,
Apex Tire Co,2010,CO2 - Natural Gas,285358.61308177165,,
Apex Tire Co,2010,CO2 - Sub bituminous coal,45688.89336322429,,
Apex Tire Co,2010,CO2 - Brown coal briquettes,0.0,,
Apex Tire Co,2010,CO2 - Other bituminous coal,40521.29521203759,,
Apex Tire Co,2010,CO2 - Coal,86210.18857526187,,
Apex Tire Co,2010,CO2 - Propane,0.0,,
Apex Tire Co,2010,CO2 - Fuel Oil Heavy A,0.0,,
Apex Tire Co,2010,CO2 - Fuel Oil Heavy C,29782.13501333393,,
Apex Tire Co,2010,CO2 - Fuel Oil,29782.13501333393,,
Apex Tire Co,2010,CO2 - Diesel,5265.379519162757,,
Apex Tire Co,2010,CO2 - Petrol,0.0,,
Apex Tire Co,2010,CO2 - Biomass,0.0,,
Apex Tire Co,2010,CO2 - Waste Tires,9593.206681920245,,
Apex Tire Co,2010,CO2 - LPG,4180.020527666143,,
Apex Tire Co,2010,CO2 - Other,0.0,,
Apex Tire Co,2010,Total CO2 - Scope 1,420389.54339911655,,
Apex Tire Co,2010,Total CO2 - Scope 2,708407.6941910634,,
Apex Tire Co,2010,Total CO2,1128797.23759018,,
Apex Tire Co,2010,Total CO2 - KPI,0.8033540677179223,,
Apex Tire Co,2010,Corporate units - Canada,0.0,,
Apex Tire Co,2010,Corporate units -  Chile,,,
Apex Tire Co,2010,Corporate units - Mexico,0.0,,
Apex Tire Co,2010,Corporate units - United States,0.0,,
Apex Tire Co,2010,Corporate units - OECD Americas,0.0,,
Apex Tire Co,2010,Corporate units - Australia,0.0,,
Apex Tire Co,2010,Corporate units - Israel,0.0,,
Apex Tire Co,2010,Corporate units - Japan,0.0,,
Apex Tire Co,2010,Corporate units - Korea,0.0,,
Apex Tire Co,2010,Corporate units - New Zealand,0.0,,
Apex Tire Co,2010,Corporate units - OECD Asia Oceania,0.0,,
Apex Tire Co,2010,Corporate units - Austria,0.0,,
Apex Tire Co,2010,Corporate units - Belgium,0.0,,
Apex Tire Co,2010,Corporate units - Czech Republic,0.0,,
Apex Tire Co,2010,Corporate units - Denmark,0.0,,
Apex Tire Co,2010,Corporate units - Estonia,0.0,,
Apex Tire Co,2010,Corporate units - Finland,0.0,,
Apex Tire Co,2010,Corporate units - France,0.0,,
Apex Tire Co,2010,Corporate units - Germany,0.0,,
Apex Tire Co,2010,Corporate units - Greece,0.0,,
Apex Tire Co,2010,Corporate units - Hungary,0.0,,
Apex Tire Co,2010,Corporate units - Iceland,0.0,,
Apex Tire Co,2010,Corporate units - Ireland,0.0,,
Apex Tire Co,2010,Corporate units - Italy,0.0,,
Apex Tire Co,2010,Corporate units - Luxembourg,0.0,,
Apex Tire Co,2010,Corporate units - Netherlands,0.0,,
Apex Tire Co,2010,Corporate units - Norway,0.0,,
Apex Tire Co,2010,Corporate units - Poland,0.0,,
Apex Tire Co,2010,Corporate units - Portugal,0.0,,
Apex Tire Co,2010,Corporate units - Slovak Republic,0.0,,
Apex Tire Co,2010,Corporate units - Slovenia,0.0,,
Apex Tire Co,2010,Corporate units - Spain,0.0,,
Apex Tire Co,2010,Corporate units - Sweden,0.0,,
Apex Tire Co,2010,Corporate units - Switzerland,0.0,,
Apex Tire Co,2010,Corporate units - Turkey,0.0,,
Apex Tire Co,2010,Corporate units - United Kingdom,0.0,,
Apex Tire Co,2010,Corporate units - OECD Europe,0.0,,
Apex Tire Co,2010,Corporate units - European Union - 27,,,
Apex Tire Co,2010,Corporate units - Non-OECD,,,
Apex Tire Co,2010,Corporate units - Albania,0.0,,
Apex Tire Co,2010,Corporate units - Armenia,0.0,,
Apex Tire Co,2010,Corporate units - Azerbaijan,0.0,,
Apex Tire Co,2010,Corporate units - Belarus,0.0,,
Apex Tire Co,2010,Corporate units - Bosnia and Herzegovina,0.0,,
Apex Tire Co,2010,Corporate units - Bulgaria,0.0,,
Apex Tire Co,2010,Corporate units - Croatia,0.0,,
Apex Tire Co,2010,Corporate units - Cyprus,0.0,,
Apex Tire Co,2010,Corporate units - Georgia,0.0,,
Apex Tire Co,2010,Corporate units - Gibraltar,0.0,,
Apex Tire Co,2010,Corporate units - Kazakhstan,0.0,,
Apex Tire Co,2010,Corporate units - Kosovo,0.0,,
Apex Tire Co,2010,Corporate units - Kyrgyzstan,0.0,,
Apex Tire Co,2010,Corporate units - Latvia,0.0,,
Apex Tire Co,2010,Corporate units - Lithuania,0.0,,
Apex Tire Co,2010,Corporate units - FYR of Macedonia,0.0,,
Apex Tire Co,2010,Corporate units - Malta,0.0,,
Apex Tire Co,2010,Corporate units - Republic of Moldova,0.0,,
Apex Tire Co,2010,Corporate units - Montenegro,0.0,,
Apex Tire Co,2010,Corporate units - Romania,0.0,,
Apex Tire Co,2010,Corporate units - Russian Federation,0.0,,
Apex Tire Co,2010,Corporate units - Serbia,0.0,,
Apex Tire Co,2010,Corporate units - Tajikistan,0.0,,
Apex Tire Co,2010,Corporate units - Turkmenistan,0.0,,
Apex Tire Co,2010,Corporate units - Ukraine,0.0,,
Apex Tire Co,2010,Corporate units - Uzbekistan,0.0,,
Apex Tire Co,2010,Corporate units - Non-OECD Europe and Eurasia,,,
Apex Tire Co,2010,Corporate units - Algeria,0.0,,
Apex Tire Co,2010,Corporate units - Angola,0.0,,
Apex Tire Co,2010,Corporate units - Benin,0.0,,
Apex Tire Co,2010,Corporate units - Botswana,0.0,,
Apex Tire Co,2010,Corporate units - Cameroon,0.0,,
Apex Tire Co,2010,Corporate units - Congo,0.0,,
Apex Tire Co,2010,Corporate units - Dem. Rep. Of Congo,0.0,,
Apex Tire Co,2010,Corporate units - Côte d'Ivoire,0.0,,
Apex Tire Co,2010,Corporate units - Egypt,0.0,,
Apex Tire Co,2010,Corporate units - Eritrea,0.0,,
Apex Tire Co,2010,Corporate units - Ethiopia,0.0,,
Apex Tire Co,2010,Corporate units - Gabon,0.0,,
Apex Tire Co,2010,Corporate units - Ghana,0.0,,
Apex Tire Co,2010,Corporate units - Kenya,0.0,,
Apex Tire Co,2010,Corporate units - Libya,0.0,,
Apex Tire Co,2010,Corporate units - Morocco,0.0,,
Apex Tire Co,2010,Corporate units - Mozambique,0.0,,
Apex Tire Co,2010,Corporate units - Namibia,0.0,,
Apex Tire Co,2010,Corporate units - Nigeria,0.0,,
Apex Tire Co,2010,Corporate units - Senegal,0.0,,
Apex Tire Co,2010,Corporate units - South Africa,0.0,,
Apex Tire Co,2010,Corporate units - Sudan,0.0,,
Apex Tire Co,2010,Corporate units - United Rep. Of Tanzania,0.0,,
Apex Tire Co,2010,Corporate units - Togo,0.0,,
Apex Tire Co,2010,Corporate units - Tunisia,0.0,,
Apex Tire Co,2010,Corporate units - Zambia,0.0,,
Apex Tire Co,2010,Corporate units - Zimbabwe,0.0,,
Apex Tire Co,2010,Corporate units - Other Africa,0.0,,
Apex Tire Co,2010,Corporate units - Africa,0.0,,
Apex Tire Co,2010,Corporate units - Bangladesh,0.0,,
Apex Tire Co,2010,Corporate units - Brunei Darussalam,0.0,,
Apex Tire Co,2010,Corporate units - Cambodia,0.0,,
Apex Tire Co,2010,Corporate units - Chinese Taipei,0.0,,
Apex Tire Co,2010,Corporate units - India,0.0,,
Apex Tire Co,2010,Corporate units - Indonesia,0.0,,
Apex Tire Co,2010,Corporate units - DPR of Korea,0.0,,
Apex Tire Co,2010,Corporate units - Malaysia,0.0,,
Apex Tire Co,2010,Corporate units - Mongolia,0.0,,
Apex Tire Co,2010,Corporate units - Myanmar,0.0,,
Apex Tire Co,2010,Corporate units - Nepal,0.0,,
Apex Tire Co,2010,Corporate units - Pakistan,0.0,,
Apex Tire Co,2010,Corporate units - Philippines,0.0,,
Apex Tire Co,2010,Corporate units - Singapore,0.0,,
Apex Tire Co,2010,Corporate units - Sri Lanka,0.0,,
Apex Tire Co,2010,Corporate units - Thailand,0.0,,
Apex Tire Co,2010,Corporate units - Vietnam,0.0,,
Apex Tire Co,2010,Corporate units - Other Asia,0.0,,
Apex Tire Co,2010,Corporate units - Asia,0.0,,
Apex Tire Co,2010,Corporate units - People's Rep. Of China,0.0,,
Apex Tire Co,2010,"Corporate units - Hong Kong, China",0.0,,
Apex Tire Co,2010,Corporate units - China,0.0,,
Apex Tire Co,2010,Corporate units - Argentina,0.0,,
Apex Tire Co,2010,Corporate units - Bolivia,0.0,,
Apex Tire Co,2010,Corporate units - Brazil,0.0,,
Apex Tire Co,2010,Corporate units - Colombia,0.0,,
Apex Tire Co,2010,Corporate units - Costa Rica,0.0,,
Apex Tire Co,2010,Corporate units - Cuba,0.0,,
Apex Tire Co,2010,Corporate units - Dominican Republic,0.0,,
Apex Tire Co,2010,Corporate units - Ecuador,0.0,,
Apex Tire Co,2010,Corporate units - El Salvador,0.0,,
Apex Tire Co,2010,Corporate units - Guatemala,0.0,,
Apex Tire Co,2010,Corporate units - Haiti,0.0,,
Apex Tire Co,2010,Corporate units - Honduras,0.0,,
Apex Tire Co,2010,Corporate units - Jamaica,0.0,,
Apex Tire Co,2010,Corporate units - Netherlands Antilles,0.0,,
Apex Tire Co,2010,Corporate units - Nicaragua,0.0,,
Apex Tire Co,2010,Corporate units - Panama,0.0,,
Apex Tire Co,2010,Corporate units - Paraguay,0.0,,
Apex Tire Co,2010,Corporate units - Peru,0.0,,
Apex Tire Co,2010,Corporate units - Trinidad and Tobago,0.0,,
Apex Tire Co,2010,Corporate units - Uruguay,0.0,,
Apex Tire Co,2010,Corporate units - Venezuela,0.0,,
Apex Tire Co,2010,Corporate units - Other Non-OECD Americas,,,
Apex Tire Co,2010,Corporate units - Non-OECD Americas,,,
Apex Tire Co,2010,Corporate units - Bahrain,0.0,,
Apex Tire Co,2010,Corporate units - Islamic Republic of Iran,0.0,,
Apex Tire Co,2010,Corporate units - Iraq,0.0,,
Apex Tire Co,2010,Corporate units - Jordan,0.0,,
Apex Tire Co,2010,Corporate units - Kuwait,0.0,,
Apex Tire Co,2010,Corporate units - Lebanon,0.0,,
Apex Tire Co,2010,Corporate units - Oman,0.0,,
Apex Tire Co,2010,Corporate units - Qatar,0.0,,
Apex Tire Co,2010,Corporate units - Saudi Arabia,0.0,,
Apex Tire Co,2010,Corporate units - Syrian Arab Republic,0.0,,
Apex Tire Co,2010,Corporate units - United Arab Emirates,0.0,,
Apex Tire Co,2010,Corporate units - Yemen,0.0,,
Apex Tire Co,2010,Corporate units - Middle East,0.0,,
Apex Tire Co,2010,Corporate units - Total non renewable electricity purchased,5670538.651932884,,
Apex Tire Co,2010,Waste Production,1405105.523143413,,
Apex Tire Co,2010,Total amount of Waste,192601.3815742977,metric T,192601.3815742977
Apex Tire Co,2010,Amount of waste sent to recovery,152638.96508087654,metric T,152638.96508087654
Apex Tire Co,2010,Amount of waste sent to elimination,39962.41649342116,,
Apex Tire Co,2010,Waste recovery %,0.7925123061591056,,
Apex Tire Co,2010,Waste elimination %,0.2074876938408943,,
Apex Tire Co,2010,Waste Intensity - KPI,0.1370725389673382,,
Apex Tire Co,2010,HS External Audit Sites,14.0,,
Apex Tire Co,2010,HS Internal Audit Sites,22.0,,
Apex Tire Co,2010,HS External Audit %,0.6086956521739131,,
Apex Tire Co,2010,HS Internal Audit %,0.9565217391304348,,
Apex Tire Co,2010,Total Employees,2331.0,,
Apex Tire Co,2010,Female Employees,602.0,,
Apex Tire Co,2010,Female Employees %,0.2582582582582582,,
Apex Tire Co,2010,Board Total,11.0,,
Apex Tire Co,2010,Female Board,4.0,,
